time,temperature
9:40,32
10:04,36
10:31,42
10:47,50
10:49,52
11:18,68
11:24,72
11:37,79
11:53,91
11:57,93
12:01,95
12:03,97
12:12,102
12:29,111
12:32,115
12:46,120
12:50,122
12:55,126
13:02,129
13:23,136
13:38,144
13:58,149
14:23,154
