time,temperature
10:49,37
11:06,54
11:10,61
11:14,68
11:24,82
11:28,84
11:38,90
11:45,93
12:01,106
12:09,108
12:19,111
12:21,113
12:31,117
12:38,120
12:42,122
12:45,124
12:51,126
12:53,127
13:03,133
13:12,136
13:19,140
13:28,142
13:50,147
14:02,149
14:05,151
14:16,153
14:16,153
14:34,156
14:37,158
